시도명,시군구명,학교명,설치위치,설치일,관리기관명,관리기관전화번호,데이터기준일
서울특별시,강남구,서울일원초등학교,학교정문 옆,2019-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울자곡초등학교,학교정문 앞,2019-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울대진초등학교,학교정문 앞,2019-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울논현초등학교,학교정문 옆,2019-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울대왕초등학교,학교정문 옆,2019-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울구룡초등학교,학교정문 옆,2019-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울개일초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울대도초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울대청초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울대모초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울삼릉초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울수서초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울신구초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울왕북초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울언주초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울영희초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울율현초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울청담초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울세명초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울언북초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울도성초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울포이초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울대치초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
서울특별시,강남구,서울압구정초등학교,학교정문 옆,2020-01-01,서울특별시 강남구청,02-3423-6402,2021-07-09
