연번,학교명, 위도, 경도, 동구분, 주소, 전화번호, 설치일, 비고
1,서울누원초등학교,37.6870928,127.0496031, 도봉2동, 도봉구 마들로 859-44, , 2017-10-20, 신규
2,서울방학초등학교,37.6640731,127.0318153, 방학2동, 서울특별시 도봉구 도당로9길 34 방학초등학교, , 2016-06-09, 신규
3,서울숭미초등학교,37.6510106,127.0279267, 쌍문1동, 도봉구 노해로 179, , 2018-11-14, 신규
4,서울신방학초등학교,37.6660343,127.0291762, 방학3동, 도봉구 시루봉로 173, , 2017-07-14, 신규
5,서울신학초등학교,37.661107,127.025338, 방학3동, 도봉구 방학로 247-21, , 2017-07-14, 신규
6,서울신화초등학교,37.6326376,127.0410134, 창3동, 도봉구 우이천로 120, , 2017-10-19, 신규
7,서울쌍문초등학교,37.6485893,127.0246907, 쌍문1동, 도봉구 우이천로 360, , 2018-08-20, 신규
8,서울오봉초등학교,37.6718422,127.0401874, 도봉1동, 도봉구 시루봉로 285, , 2018-07-24, 신규
9,서울월천초등학교,37.6481697,127.0517495, 창4동, 도봉구  노해로 70길 96, , 2016-11-21, 신규
10,서울자운초등학교,37.657877,127.0464372, 창4동, 서울특별시 도봉구 마들로13길 166, , 2016-11-21, 
11,서울창도초등학교,37.6640015,127.0492742, 방학1동, 도봉구 방학로 32-28, , 2016-10-19, 신규
12,서울창동초등학교,37.6553492,127.0448962, 창5동, 도봉구 해등로16길 81, , 2017-07-13, 신규
13,서울창원초등학교,37.6524941,127.0406629, 창5동, 도봉구 해등로 103, , 2018-11-14, 신규
14,서울창일초등학교,37.6479304,127.0473874, 창1동, 도봉구 노해로66길 84, , 2017-07-13, 신규
15,서울초당초등학교,37.6584515,127.022177, 방학3동, 도봉구  해등로 32길 11, , 2016-11-23, 신규
