연번,대상,주소,현황
1,남성초등학교,동작구 사당로 23길 57-14,2016. 5월 설치
2,영본초등학교,동작구 만양로 26,2016. 5월 설치
3,행림초등학교,동작구 사당로10길 102 ,2016. 5월 설치
4,본동초등학교,동작구 노량진26길 16-40,2016. 5월 설치
5,삼일초등학교,동작구 사당로23나길 27,2016. 5월 설치
6,신길초등학교,동작구 여의대방로 256,2016. 5월 설치
7,동작초등학교,동작구 동작대로29길 195 ,2016. 5월 설치
8,은로초등학교,동작구 서달로 115,2016. 5월 설치
9,신남성초등학교,사당로 2가길 131,2016. 5월 설치
10,보라매초등학교,여의대방로16길 61,2016. 5월 설치
11,대림초등학교,대방동1길 학교 정문,2017. 6월 설치
12,강남초등학교,강남초등길 22 맞은편,2017. 6월 설치
13,신상도초등학교,장승배기로4길 학교 후문,2018. 11월 설치
14,행림초등학교,솔밭로 동작고등학교 정문 앞,2019. 6월 설치
