구,학교명,설치일,특이 설치위치
동작구,서울남성초등학교,2016-05-01,
,서울영본초등학교,2016-05-01,
,서울본동초등학교,2016-05-01,
,서울삼일초등학교,2016-05-01,
,서울신길초등학교,2016-05-01,
,서울동작초등학교,2016-05-01,
,서울은로초등학교,2016-05-01,
,서울신남성초등학교,2016-05-01,
,서울보라매초등학교,2016-05-01,
,서울대림초등학교,2017-06-01,
,서울강남초등학교,2017-06-01,
,서울신상도초등학교,2018-11-01,
,서울행림초등학교,2019-06-01,솔밭로 동작고등학교 정문 앞
마포구,서울중동초등학교,2016-05-18,
,서울공덕초등학교,2016-07-11,
,서울염리초등학교,2016-09-27,
,서울아현초등학교,2016-10-12,
,서울성산초등학교,2017-06-13,
,서울성원초등학교,2017-06-15,
서대문구,서울고은초등학교,2016-01-01,성원아파트앞(모래내길)
,서울홍연초등학교,2016-01-01,문화체육회관옆(백련사길)
,서울금화초등학교,2016-01-01,동명여중담장(독립문로)
,서울안산초등학교,2016-01-01,홍제청구3차아파트진입로옆(통일로)
,서울홍은초등학교,2017-01-01,문화촌제일교회앞(세검정로)
,서울연가초등학교,2017-01-01,
,서울북가좌초등학교,2017-01-01,
,서울연희초등학교,2018-01-01,
,서울연가초등학교,2018-01-01,
영등포구,서울영원초등학교,2016-01-01,
,서울대동초등학교,2017-01-01,
,서울영림초등학교,2017-01-01,
,서울대방초등학교,2020-01-01,
