순번,학교명,설치주소,설치일자,데이터 기준일자
1,서울계남초등학교,서울특별시 양천구 목동동로2길 54,2016/06/07,2021-09-01
2,서울강신초등학교,서울특별시 양천구 월정로 280,2016/09/30,2021-09-01
3,서울갈산초등학교,서울특별시 양천구 목동로 31,2016/10/06,2021-09-01
4,서울강서초등학교,서울특별시 양천구 오목로 31,2017/07/12,2021-09-01
5,서울신강초등학교,서울 양천구 중앙로55길 72,2017/09/13,2021-09-01
6,서울양명초등학교,서울 양천구 중앙로 204,2017/09/13,2021-09-01
7,서울서정초등학교,서울 양천구 목동로8길 19,2017/10/24,2021-09-01
8,서울강서초등학교,서울특별시 양천구 오목로 31,2017/11/16,2021-09-01
9,서울강월초등학교,서울 양천구 신월로 97,2018/10/22,2021-09-01
10,서울양강초등학교,서울 양천구 오목로 101,2018/10/22,2021-09-01
11,서울갈산초등학교,서울특별시 양천구 목동로 31,2019/07/18,2021-09-01
12,서울서정초등학교,서울 양천구 목동로8길 19,2019/07/18,2021-09-01
13,서울신서초등학교,서울 양천구 목동서로10길 35,2019/07/18,2021-09-01
14,서울신목초등학교,서울 양천구 신목로5길 11-6,2019/07/18,2021-09-01
