연번,학교명,설치일,주소,비고
1,서울은명초등학교,2016-05-18,서울특별시 은평구 은평로4길 21-9,2018년 보수
2,서울증산초등학교,2016-10-17,서울특별시 은평구 증산서길 53,2018년 보수
3,서울서신초등학교,2016-10-20,서울특별시 은평구 은평터널로 164,2018년 보수
4,서울연신초등학교,2017-06-02,서울특별시 은평구 연서로 347,2018년 보수
5,서울은진초등학교,2017-05-30,서울특별시 은평구 진관1로 21-20,2018년 보수
6,서울구산초등학교,2017-06-15,서울특별시 은평구 서오릉로15길 16,2018년 보수
7,상신초교,2017-06-16,서울특별시 은평구 가좌로 342,2020년 보수
8,구현초교,2017-06-17,서울특별시 은평구 갈현로15길 28,2020년 보수
9,예일초입구,2017-06-18,서울특별시 은평구 연서로 107,2018년 보수
10,예일초북측,2017-06-19,서울특별시 은평구 연서로13길 19-1,2020년 보수(싸인블럭)
11,선일초교,2017-06-22,서울특별시 은평구 갈현로29길 20,2019년 보수
12,신도초교,2017-06-23,서울특별시 은평구 진관1로 77-23,2018년 보수
13,녹번초교,2017-06-24,서울특별시 은평구 녹번로1길 1,2020년 보수(싸인블럭)
14,연천초교,2017-06-25,서울특별시 은평구 연서로34길 22,2018년 보수
15,구산초교,2017-09-29,서울특별시 은평구 서오릉로15길 16,2020년 보수
16,진관초정문,2017-10-13,서울특별시 은평구 진관4로 78-16,2018년 보수
17,진관초북측,2017-10-14,서울특별시 은평구 진관4로 78-16,2018년 보수
18,서신초교,2017-10-19,서울특별시 은평구 은평터널로 150,2020년 보수
19,은빛초교,2017-10-23,서울특별시 은평구 진관3로 73-17,2019년 보수
20,신도초후문,2017-10-31,서울특별시 은평구 진관2로 90(319동),2018년 보수
