연번,위   치,설치 일자,데이터기준일자
1,서울 중랑구 봉우재로6길 26 중랑초교 북동쪽,2016-06-01,2021-04-30
2,서울 중랑구 동일로138길 27 중랑중교 정문쪽,2017-07-01,2021-04-30
3,서울 중랑구 숙선옹주로 109 원묵초교 정문 반대쪽,2017-09-01,2021-04-30
4,서울 중랑구 봉화산로 188 신현초교 남서쪽,2017-10-01,2021-04-30
5,서울 중랑구 신내로15길 110 봉화초교 정문쪽,2017-10-01,2021-04-30
6,서울 중랑구 동일로126가길 11 상봉초교 정문쪽,2018-11-01,2021-04-30
7,서울 중랑구 봉화산로 250 삼거리 인근,2018-11-01,2021-04-30
8,서울 중랑구 용마산로129가길 41 신내초교 후문쪽,2018-11-01,2021-04-30
9,서울 중랑구 신내로21길 55 금성초교 동쪽 사거리,2019-09-20,2021-04-30
10,서울 중랑구 송림길 114 동원초교 북동쪽,2019-09-18,2021-04-30
11,서울 중랑구 송림길 114 동원초교 남쪽(이화미디어고),2019-09-18,2021-04-30
12,서울 중랑구 면목로57길 32 면동초교 후문앞,2019-09-20,2021-04-30
13,서울 중랑구 면목로57길 32 면동초교 남동쪽,2019-09-20,2021-04-30
14,서울 중랑구 면목로57길 32 면동초교 남서쪽,2019-09-20,2021-04-30
15,서울 중랑구 용마산로100길 13 면일초교 남쪽,2019-09-18,2021-04-30
16,서울 중랑구 용마산로100길 13 면일초교 북동쪽,2019-09-18,2021-04-30
17,서울 중랑구 용마산로100길 13 면일초교 남동쪽,2019-09-18,2021-04-30
18,서울 중랑구 용마산로129가길 41 신내초교 북서쪽,2019-09-19,2021-04-30
19,서울 중랑구 동일로149길 46 신묵초교 남서쪽,2019-09-18,2021-04-30
20,서울 중랑구 봉화산로 188 신현초교 북동쪽,2019-09-19,2021-04-30
21,서울 중랑구 신내로23길 57 원묵중교 북서쪽,2019-09-18,2021-04-30
22,서울 중랑구 면목로23길 20 중곡초교 북동쪽,2019-09-20,2021-04-30
23,서울 중랑구 봉우재로6길 26 중랑초교 남동쪽 1,2019-09-19,2021-04-30
24,서울 중랑구 봉우재로6길 26 중랑초교 남동쪽 2,2019-09-19,2021-04-30
25,서울 중랑구 신내로7가길 22 중화초교 서쪽 삼거리,2019-09-19,2021-04-30
