연번,학교명,위   치,설치일,데이터기준일자
1,서울중랑초등학교,서울 중랑구 봉우재로6길 26 중랑초교 북동쪽,2016-06-01,2021-04-30
3,서울원묵초등학교,서울 중랑구 숙선옹주로 109 원묵초교 정문 반대쪽,2017-09-01,2021-04-30
4,서울신현초등학교,서울 중랑구 봉화산로 188 신현초교 남서쪽,2017-10-01,2021-04-30
5,서울봉화초등학교,서울 중랑구 신내로15길 110 봉화초교 정문쪽,2017-10-01,2021-04-30
6,서울상봉초등학교,서울 중랑구 동일로126가길 11 상봉초교 정문쪽,2018-11-01,2021-04-30
8,서울신내초등학교,서울 중랑구 용마산로129가길 41 신내초교 후문쪽,2018-11-01,2021-04-30
9,금성초등학교,서울 중랑구 신내로21길 55 금성초교 동쪽 사거리,2019-09-20,2021-04-30
10,서울동원초등학교,서울 중랑구 송림길 114 동원초교 북동쪽,2019-09-18,2021-04-30
12,서울면동초등학교,서울 중랑구 면목로57길 32 면동초교 후문앞,2019-09-20,2021-04-30
15,서울면일초등학교,서울 중랑구 용마산로100길 13 면일초교 남쪽,2019-09-18,2021-04-30
18,서울신내초등학교,서울 중랑구 용마산로129가길 41 신내초교 북서쪽,2019-09-19,2021-04-30
19,서울신묵초등학교,서울 중랑구 동일로149길 46 신묵초교 남서쪽,2019-09-18,2021-04-30
